Name,Asset,,,,
HDFC Bank ,5.34%,,,,
Maruti Suzuki India ,4.78%,,,,
ICICI Bank ,4.50%,,,,
Larsen & Toubro Ltd,4.27%,,,,
Axis Bank Ltd,4.01%,,,,
State Bank of India,3.60%,,,,
NTPC Ltd,3.57%,,,,
Reliance industries Ltd,2.97%,,,,
Infosys Ltd,2.77%,,,,
Bosch Ltd.,2.55%,,,,
Hindustan Unilever Ltd,2.46%,,,,
Hero Motocorp Ltd.,2.41%,,,,
Linde India Ltd.,2.33%,,,,
Tech Mahindra Ltd.,2.22%,,,,
GAIL (India) Ltd.,2.16%,,,,
Sun Pharmaceutical Industries Ltd.,2.14%,,,,
Jindal Steel & Power Ltd.,2.13%,,,,
Ultratech Cement Ltd.,1.91%,,,,
Bank Of Baroda,1.81%,,,,
SRF Ltd.,1.74%,,,,
Bharti Airtel Ltd.,1.74%,,,,
Ambuja Cements Ltd.,1.69%,,,,
United Spirits Ltd.,1.65%,,,,
Exide Industries Ltd.,1.47%,,,,
Kalpataru Projects International Ltd.,1.45%,,,,
KNR Constructions Ltd.,1.44%,,,,
Cummins India Ltd.,1.31%,,,,
Bharat Forge Ltd.,1.29%,,,,
Cipla Ltd.,1.27%,,,,
Blue Star Ltd.,1.25%,,,,
ABB India Ltd.,1.22%,,,,
SBI Life Insurance Company Ltd.,1.17%,,,,
Voltas Ltd.,1.14%,,,,
Thermax Ltd.,1.06%,,,,
Gujarat State Petronet Ltd.,1.04%,,,,
Data Patterns (India) Ltd.,1.03%,,,,
Sun TV Network Ltd.,1.03%,,,,
Zydus Lifesciences Ltd.,1.02%,,,,
Solar Industries India Ltd.,1.01%,,,,
AU Small Finance Bank Ltd.,1.00%,,,,
Ashok Leyland Ltd.,0.99%,,,,
Crisil Ltd.,0.98%,,,,
Carborundum Universal Ltd.,0.97%,,,,
Kaynes Technology India Ltd.,0.96%,,,,
JK Tyre & Industries Ltd.,0.91%,,,,
Balkrishna Industries Ltd.,0.90%,,,,
Coromandel International Ltd.,0.88%,,,,
SKF India Ltd.,0.73%,,,,
Hindalco Industries Ltd.,0.72%,,,,
Sundaram Finance Ltd.,0.71%,,,,
ITC Ltd.,0.64%,,,,
Ashoka Buildcon Ltd.,0.57%,,,,
Blue Dart Express Ltd.,0.54%,,,,
Garware Technical Fibres Ltd.,0.52%,,,,
Tata Technologies Ltd,0.35%,,,,
Indian Renewable Energy Development,0.31%,,,,
Hawkins Cookers Ltd.,0.30%,,,,
Power Grid Corporation Of India Ltd.,0.27%,,,,
Bharti Airtel Ltd.,0.06%,,,,
,,,,,
,,,,,
